Potential (V);Current (A)
-0.55;3.362985063806956e-10
-0.5477987987987989;0.07967055327276089
-0.5455975975975977;0.1472444615676219
-0.5433963963963965;0.20263255085356807
-0.5411951951951952;0.2493369374760911
-0.5389939939939941;0.28783909905424704
-0.5367927927927929;0.3201183023787934
-0.5345915915915916;0.34687907673782264
-0.5323903903903905;0.36918779725151124
-0.5301891891891892;0.38778546079007326
-0.5279879879879881;0.40320294443010474
-0.5257867867867868;0.41612601038179275
-0.5235855855855857;0.4267806711286222
-0.5213843843843845;0.43575953843250803
-0.5191831831831832;0.4431225158379887
-0.516981981981982;0.4493602634320146
-0.5147807807807808;0.4544483628694123
-0.5125795795795797;0.45876382970084006
-0.5103783783783784;0.4622973181177688
-0.5081771771771771;0.46528005475965034
-0.505975975975976;0.46773640465638533
-0.5037747747747748;0.4697979455231411
-0.5015735735735736;0.4715053076154827
-0.4993723723723724;0.47293013124509614
-0.4971711711711712;0.4741167565579416
-0.49496996996997;0.475101506099721
-0.4927687687687688;0.4759261363149098
-0.4905675675675676;0.4766067352206721
-0.48836636636636643;0.47717975527398293
-0.4861651651651652;0.477650153531996
-0.483963963963964;0.478048312073457
-0.4817627627627628;0.4783734458170113
-0.4795615615615616;0.4786492324152215
-0.4773603603603604;0.47887484833910027
-0.4751591591591592;0.47906554374246074
-0.472957957957958;0.4792224678351038
-0.47075675675675677;0.47935435406846094
-0.46855555555555556;0.47946351927517084
-0.46635435435435435;0.47955476488268595
-0.46415315315315314;0.4796307325017598
-0.461951951951952;0.4796938970884293
-0.45975075075075084;0.4797467950216419
-0.45754954954954963;0.47979056082976523
-0.45534834834834836;0.47982743269131567
-0.45314714714714716;0.479857801727844
-0.450945945945946;0.47988354575624176
-0.4487447447447448;0.4799046673966565
-0.4465435435435436;0.4799226508743535
-0.44434234234234243;0.47993743290628643
-0.4421411411411412;0.47995001596673315
-0.43993993993994;0.47996045083722844
-0.4377387387387388;0.4799693148718457
-0.4355375375375376;0.47997674087818887
-0.4333363363363364;0.4799830494379808
-0.4311351351351352;0.47998839875868843
-0.428933933933934;0.47999295751611165
-0.42673273273273277;0.47999687985373035
-0.42453153153153156;0.4800002471996912
-0.4223303303303304;0.480003195852314
-0.42012912912912914;0.48000575937767076
-0.417927927927928;0.4800080511530722
-0.4157267267267268;0.48001008052796884
-0.41352552552552563;0.48001193623187294
-0.41132432432432436;0.48001362099562844
-0.40912312312312316;0.4800151957931089
-0.406921921921922;0.4800166693157085
-0.40472072072072074;0.4800180763828949
-0.4025195195195196;0.4800194299263486
-0.4003183183183184;0.48002074989964477
-0.39811711711711717;0.48002204935012954
-0.39591591591591596;0.48002334059171003
-0.39371471471471475;0.4800246343970658
-0.39151351351351354;0.4800259401101554
-0.3893123123123124;0.4800272648216055
-0.3871111111111112;0.4800286179933978
-0.38490990990991;0.48003000214405483
-0.3827087087087087;0.480031428987013
-0.38050750750750756;0.48003289592942555
-0.37830630630630635;0.4800344181723828
-0.37610510510510514;0.4800359894621314
-0.373903903903904;0.48003762458160276
-0.3717027027027027;0.4800393186017322
-0.3695015015015016;0.480041083763575
-0.36730030030030036;0.48004291784895436
-0.36509909909909916;0.48004482963206413
-0.36289789789789795;0.48004682082274214
-0.36069669669669674;0.48004889582115406
-0.35849549549549553;0.48005106142356474
-0.3562942942942943;0.4800533167045491
-0.3540930930930931;0.48005567472534055
-0.35189189189189196;0.480058128192402
-0.34969069069069075;0.48006069768833803
-0.3474894894894895;0.4800633683829767
-0.34528828828828834;0.4800661697556254
-0.3430870870870872;0.48006908158920913
-0.3408858858858859;0.4800721333819029
-0.3386846846846847;0.4800753095575724
-0.33648348348348356;0.4800786345252104
-0.33428228228228235;0.48008209983633254
-0.33208108108108114;0.4800857231241038
-0.32987987987987993;0.4800895045867401
-0.3276786786786787;0.48009345358567873
-0.3254774774774775;0.4800975806950346
-0.3232762762762763;0.48010188528916586
-0.3210750750750751;0.48010639029364194
-0.31887387387387395;0.48011108312576556
-0.31667267267267274;0.48011600132067356
-0.3144714714714715;0.48012111807953495
-0.3122702702702703;0.48012648812807723
-0.3100690690690691;0.48013207321815476
-0.30786786786786785;0.4801379321469504
-0.30566666666666675;0.48014403176858356
-0.3034654654654655;0.4801504226212602
-0.3012642642642643;0.48015708525264844
-0.29906306306306313;0.48016405741844176
-0.2968618618618619;0.48017133628810404
-0.2946606606606607;0.4801789439305118
-0.2924594594594595;0.48018689751979576
-0.2902582582582583;0.4801952000755571
-0.2880570570570571;0.48020389268014085
-0.28585585585585593;0.48021295541487224
-0.28365465465465467;0.48022245777222056
-0.2814534534534535;0.4802323524009407
-0.27925225225225225;0.4802427423929479
-0.2770510510510511;0.48025355557525157
-0.27484984984984984;0.48026491121585935
-0.27264864864864874;0.48027673909120433
-0.27044744744744753;0.4802891456545026
-0.2682462462462463;0.4803020871408784
-0.26604504504504506;0.4803156457327059
-0.26384384384384385;0.4803298100553369
-0.2616426426426427;0.4803446321900515
-0.2594414414414415;0.48036014006941447
-0.2572402402402403;0.4803763488564552
-0.2550390390390391;0.48039333385149224
-0.25283783783783786;0.4804110653346104
-0.2506366366366367;0.48042967536339476
-0.2484354354354355;0.48044908003459885
