Potential (V);ic (A);if (A) 
-0.55;0.0;3.362985063806956e-10
-0.549;0.037600991172929456;8.394389571728794e-07
-0.548;0.07078374941715045;8.559143739898149e-07
-0.547;0.10006743078688893;8.72734812678205e-07
-0.546;0.12591018889195732;8.89880520248183e-07
-0.545;0.1487163428739231;9.073576266993135e-07
-0.544;0.16884270312287533;9.252007727265728e-07
-0.543;0.1866041537028773;9.433883986511063e-07
-0.542;0.20227857882513844;9.619357134307896e-07
-0.541;0.21611121044532808;9.808348842311361e-07
-0.54;0.22831846500473915;1.0001348359003814e-06
-0.539;0.23909132934248115;1.0197885377340413e-06
-0.538;0.24859834875250247;1.039847888309368e-06
-0.537;0.2569882639346579;1.0602914635765697e-06
-0.536;0.26439233809585755;1.0811424856027046e-06
-0.535;0.2709264106096229;1.1024064572494642e-06
-0.534;0.2766927093642839;1.1240791892962133e-06
-0.533;0.2817814501546497;1.1461832816102245e-06
-0.532;0.2862722481402034;1.1687167062184042e-06
-0.531;0.2902353634525877;1.1917026499710042e-06
-0.53;0.2937328004403524;1.2151440646023355e-06
-0.529;0.29681927774903955;1.2390402230955517e-06
-0.528;0.2995430844138536;1.2633977037294276e-06
-0.527;0.30194683535879124;1.2882411448095905e-06
-0.526;0.30406813812228356;1.3135866389035123e-06
-0.525;0.30594018124050965;1.3394125949776928e-06
-0.524;0.30759225349384894;1.3657607439916027e-06
-0.523;0.3090502021402669;1.3926123243248e-06
-0.522;0.3103368373048581;1.4200000390263298e-06
-0.521;0.3114722888523663;1.4479277001922155e-06
-0.52;0.3124743213260771;1.4764015658533857e-06
-0.519;0.3133586118804161;1.5054466684266642e-06
-0.518;0.31413899555560504;1.5350488178891822e-06
-0.517;0.31482768173178693;1.5652348404695608e-06
-0.516;0.31543544514912025;1.596019527508606e-06
-0.515;0.31597179448242113;1.6274100033561444e-06
-0.514;0.31644512110776246;1.6594190462729917e-06
-0.513;0.316862830388537;1.6920489892034734e-06
-0.512;0.3172314575350014;1.7253350195822594e-06
-0.511;0.3175567698499648;1.7592642767796443e-06
-0.51;0.31784385696029266;1.7938648807350856e-06
-0.509;0.3180972104459289;1.829149822498873e-06
-0.508;0.318320794112262;1.865124815454877e-06
-0.507;0.31851810600526936;1.9018051096458569e-06
