Potential (V);ic (A);if (A) 
-0.55;0.0;3.362985063806956e-10
-0.548;0.07520198234585891;1.6789500441759116e-06
-0.546;0.1415674988343009;1.7456121325228093e-06
-0.544;0.20013486157377786;1.8149080941667136e-06
-0.542;0.25182037778391464;1.8869848220986176e-06
-0.54;0.2974326857478462;1.961924987587116e-06
-0.538;0.33768540624575066;2.039831714636806e-06
-0.536;0.3732083074057546;2.1208379116573565e-06
-0.534;0.4045571576502769;2.205066139606375e-06
-0.532;0.43222242089065616;2.292632123058837e-06
-0.53;0.4566369300094783;2.3836875818184506e-06
-0.528;0.4781826586849623;2.478359491927333e-06
-0.526;0.49719669750500495;2.5767875666192315e-06
-0.524;0.5139765278693158;2.6791283468919236e-06
-0.522;0.5287846761917151;2.785532672215753e-06
-0.52;0.5418528212192458;2.8961712962087584e-06
-0.518;0.5533854187285678;3.011199149918575e-06
-0.516;0.5635629003092995;3.1307839965577336e-06
-0.514;0.5725444962804068;3.2551370331354435e-06
-0.512;0.5804707269051754;3.384419027115149e-06
-0.51;0.5874656008807048;3.518850608098312e-06
-0.508;0.5936385554980791;3.6586133283070415e-06
-0.506;0.5990861688277072;3.8039275288972514e-06
-0.504;0.6038936707175825;3.955018337586875e-06
-0.502;0.6081362762445671;4.112111099975693e-06
-0.5;0.6118803624810193;4.275444259721483e-06
-0.49800000000000005;0.6151845069876979;4.445261190470905e-06
-0.49600000000000005;0.6181004042805338;4.621832248530207e-06
-0.49400000000000005;0.6206736746097162;4.805416616031047e-06
-0.49200000000000005;0.6229445777047325;4.9962933151775046e-06
-0.49000000000000005;0.6249486426521542;5.194757148435234e-06
-0.48800000000000004;0.6267172237608322;5.401106741167514e-06
-0.48600000000000004;0.6282779911112101;5.615653816198986e-06
-0.48400000000000004;0.6296553634635739;5.838726304169335e-06
-0.48200000000000004;0.6308708902982405;6.070661850639835e-06
-0.48000000000000004;0.6319435889648423;6.311814005401896e-06
-0.47800000000000004;0.6328902422155249;6.562549075910413e-06
-0.47600000000000003;0.633725660777074;6.82324676122228e-06
-0.47400000000000003;0.6344629150700029;7.094305555291981e-06
-0.47200000000000003;0.6351135396999296;7.376134706228776e-06
-0.47000000000000003;0.6356877139205853;7.669168588940999e-06
-0.468;0.6361944208918578;7.973845795109028e-06
-0.466;0.636641588224524;8.290629241966973e-06
-0.4640000000000001;0.6370362120105387;8.620006495390843e-06
-0.462;0.637384466279383;8.962476949320182e-06
-0.4600000000000001;0.63769179959295;9.318556887057623e-06
-0.458;0.6379630202902338;9.688791657006592e-06
-0.45600000000000007;0.6382023717155036;1.007374437424642e-05
-0.454;0.6384135986069336;1.0473997512992006e-05
-0.45200000000000007;0.638600005684363;1.0890164080109236e-05
-0.45000000000000007;0.6387645093528143;1.1322876294401604e-05
-0.44800000000000006;0.6389096833306863;1.1772793183155031e-05
-0.44600000000000006;0.6390377989164944;1.2240595844627493e-05
-0.44400000000000006;0.6391508605241427;1.2727000102773223e-05
-0.44200000000000006;0.6392506370426937;1.3232745558897027e-05
-0.44000000000000006;0.6393386895112655;1.3758601863863057e-05
-0.43800000000000006;0.6394163955420451;1.4305370205739568e-05
-0.43600000000000005;0.6394849708735203;1.4873882187350046e-05
-0.43400000000000005;0.6395454883911408;1.5465007155196725e-05
-0.43200000000000005;0.639598894912993;1.6079641886680713e-05
-0.43000000000000005;0.6396460260031054;1.671872515744576e-05
-0.42800000000000005;0.6396876190441451;1.738323136262273e-05
-0.42600000000000005;0.6397243247740315;1.8074172423831282e-05
-0.42400000000000004;0.6397567174669636;1.8792602382859616e-05
-0.42200000000000004;0.6397853039181424;1.953961713410464e-05
-0.42000000000000004;0.6398105313727637;2.031635571327248e-05
-0.41800000000000004;0.639832794523327;2.112400491482772e-05
-0.41600000000000004;0.6398524416847409;2.1963795571208904e-05
-0.41400000000000003;0.6398697802438332;2.2837009207473385e-05
-0.41200000000000003;0.6398850814685274;2.374498186763333e-05
-0.41000000000000003;0.639898584751926;2.468909759516754e-05
-0.40800000000000003;0.6399105013576998;2.5670801338894055e-05
-0.406;0.6399210177253846;2.6691589983970362e-05
-0.404;0.6399302983872928;2.775302723395083e-05
-0.402;0.6399384885426808;2.8856733936509396e-05
-0.4;0.6399457163294423;3.000440023900275e-05
-0.398;0.6399520948288719;3.119778073990218e-05
-0.396;0.6399577238348616;3.243870232515845e-05
-0.394;0.6399626914152122;3.372906541749179e-05
-0.392;0.639967075289485;3.5070846912436477e-05
-0.39;0.639970944044952;3.646610184906086e-05
-0.388;0.6399743582096685;3.791697044675618e-05
-0.386;0.6399773711994557;3.942567673664107e-05
-0.384;0.6399800301536105;4.099453581020675e-05
-0.382;0.6399823766724162;4.262595603420181e-05
-0.38;0.639984447467994;4.432244296902499e-05
-0.37800000000000006;0.6399862749386774;4.608660286428734e-05
-0.376;0.639987887675895;4.792114681105475e-05
-0.374;0.6399893109114942;4.982889813780221e-05
-0.372;0.6399905669125022;5.181279133994633e-05
-0.37000000000000005;0.6399916753295014;5.387588138478925e-05
-0.36800000000000005;0.63999265350407;5.602134690876612e-05
-0.366;0.6399935167400969;5.8252494963322245e-05
-0.364;0.6399942785432168;6.057276758314859e-05
-0.36200000000000004;0.6399949508321106;6.29857463111505e-05
-0.36000000000000004;0.639995544124977;6.549515797507772e-05
-0.358;0.6399960677040939;6.810488167846962e-05
-0.356;0.6399965297610428;7.081895414531165e-05
-0.35400000000000004;0.6399969375248691;7.364157702903749e-05
-0.35200000000000004;0.6399972973751826;7.657712327390636e-05
-0.35000000000000003;0.6399976149419699;7.963014472749082e-05
