Potential (V);ic (A);if (A) 
-0.55;0.0;3.362985063806956e-10
-0.5485000000000001;0.05640148675939418;1.2591348252628425e-06
-0.547;0.10617562412572565;1.2964390781683532e-06
-0.5455000000000001;0.15010114618033338;1.334836092734164e-06
-0.544;0.18886528333793595;1.3743979622784925e-06
-0.5425000000000001;0.22307451431088465;1.415127879673968e-06
-0.541;0.253264054684313;1.4570666370890373e-06
-0.5395000000000001;0.27990623055431596;1.5002502766476415e-06
-0.538;0.30341786823770767;1.5447075520035189e-06
-0.5365000000000001;0.3241668156679921;1.5904913225169113e-06
-0.535;0.3424776975071087;1.6376377177741332e-06
-0.5335000000000001;0.3586369940137217;1.6861730281337226e-06
-0.532;0.3728975231287537;1.7361482487249125e-06
-0.5305000000000001;0.38548239590198685;1.7876141743452153e-06
-0.529;0.3965885071437863;1.8406073419546862e-06
-0.5275000000000001;0.40638961591443434;1.8951635448100883e-06
-0.526;0.4150390640464259;1.951338733309881e-06
-0.5245000000000001;0.42267217523197453;2.0091787968681617e-06
-0.523;0.4294083722103051;2.0687376304198557e-06
-0.5215000000000001;0.4353530451788815;2.1300561216721305e-06
-0.52;0.44059920066052854;2.193201843260797e-06
-0.5185000000000001;0.4452289166235593;2.2582197706900004e-06
-0.517;0.44931462662078037;2.3251553859494172e-06
-0.5155000000000001;0.45292025303818684;2.3940873478693536e-06
-0.514;0.4561022071834253;2.4650530357860253e-06
-0.5125000000000001;0.4589102718607644;2.538120849545237e-06
-0.511;0.4613883802407734;2.61337077364562e-06
-0.5095000000000001;0.4635753032104003;2.690840073216833e-06
-0.508;0.4655052559572871;2.7706113108695877e-06
-0.5065000000000001;0.4672084332785494;2.852744807499e-06
-0.505;0.4687114819891156;2.9373133112052474e-06
-0.5035000000000001;0.4700379178206241;3.0243917212977424e-06
-0.502;0.47120849333340753;3.1140522294675815e-06
-0.5005000000000001;0.4722415225976804;3.2063711110652108e-06
-0.49900000000000005;0.4731531677236804;3.3014235776089495e-06
-0.49750000000000005;0.47395769172363167;3.3993022149271826e-06
-0.49600000000000005;0.4746676816616437;3.500079102065038e-06
