Potential (V);ic (A);if (A) 
-0.55;0.0;3.362985063806956e-10
-0.5475000000000001;0.09400247793232364;2.0989244073405717e-06
-0.545;0.1769593735428761;2.203614610546891e-06
-0.5425000000000001;0.25016857696722233;2.313535528872671e-06
-0.54;0.31477547222989327;2.4289392866414552e-06
-0.5375000000000001;0.3717908571848078;2.5501001987570243e-06
-0.535;0.42210675780718837;2.6773186140656363e-06
-0.5325000000000001;0.46651038425719327;2.8108792436717516e-06
-0.53;0.5056964470628461;2.951103617106835e-06
-0.5275000000000001;0.5402780261133202;3.098325496472849e-06
-0.525;0.570796162511848;3.2528993657754438e-06
-0.5225000000000001;0.5977283233562029;3.415181219813759e-06
-0.52;0.6214958718812562;3.585557617229437e-06
-0.5175000000000001;0.6424706598366448;3.764444256245281e-06
-0.515;0.660980845239644;3.9522498589238794e-06
-0.5125000000000001;0.6773160265240573;4.1494325061898374e-06
-0.51;0.6917317734107099;4.356448858119908e-06
-0.5075000000000001;0.7044536253866243;4.573795478297382e-06
-0.505;0.7156806203505086;4.801990560498796e-06
-0.5025000000000001;0.7255884086314692;5.0415703435000694e-06
-0.5;0.7343320011008809;5.293108017882172e-06
-0.49750000000000005;0.742048194372599;5.557195422787634e-06
-0.49500000000000005;0.7488577110346339;5.834463129231001e-06
-0.49250000000000005;0.7548670883969781;6.12557178700897e-06
-0.49000000000000005;0.7601703453057089;6.431202205954466e-06
-0.48750000000000004;0.7648504531012741;6.752086334904239e-06
-0.48500000000000004;0.7689806337346224;7.0889880982468525e-06
-0.48250000000000004;0.7726255053506672;7.442702434311233e-06
-0.48000000000000004;0.7758420932621453;7.814073788639077e-06
-0.47750000000000004;0.7786807221309157;8.20397690935839e-06
-0.47500000000000003;0.7811858033151928;8.613339833100378e-06
-0.47250000000000003;0.7833965297010402;9.043140015550155e-06
-0.47000000000000003;0.7853474888890126;9.494391455127988e-06
-0.4675;0.7870692043294674;9.968169034512421e-06
-0.465;0.7885886128728007;1.0465595711210714e-05
-0.4625;0.7899294862060529;1.0987853948535475e-05
-0.46;0.7911128027694062;1.1536185703801711e-05
-0.4575;0.7921570759713426;1.2111893143091201e-05
-0.455;0.7930786438375036;1.2716344019963983e-05
-0.4525;0.7938919246249121;1.3350971002652852e-05
-0.45000000000000007;0.7946096424007316;1.4017288975137403e-05
-0.4475;0.7952430261148224;1.4716877105948258e-05
-0.44500000000000006;0.7958019852806549;1.5451396976648143e-05
-0.44250000000000006;0.7962952650131734;1.622260094327705e-05
-0.44000000000000006;0.7967305828492288;1.7032318512013512e-05
-0.43750000000000006;0.7971147494911874;1.788247369660791e-05
-0.43500000000000005;0.7974537753627923;1.8775094743045846e-05
-0.43250000000000005;0.7977529646443796;1.9712299268630084e-05
-0.43000000000000005;0.7980169982586669;2.0696320504339102e-05
-0.42750000000000005;0.7982500071054538;2.17295005562414e-05
-0.42500000000000004;0.7984556366910178;2.281429877575833e-05
-0.4225;0.798637104163358;2.39532972863899e-05
-0.42000000000000004;0.798797248645618;2.5149208527789138e-05
-0.4175;0.7989385756551785;2.640488189255352e-05
-0.41500000000000004;0.799063296303367;2.7723309419888175e-05
-0.41250000000000003;0.799173361889082;2.910763400595279e-05
-0.41000000000000003;0.7992704944275565;3.056115415062483e-05
-0.40750000000000003;0.7993562135919003;3.208733871015176e-05
-0.405;0.799431860488926;3.368982562706004e-05
-0.4025;0.7994986186412413;3.53724402479924e-05
-0.4;0.7995575325038818;3.713919876314308e-05
-0.3975;0.7996095238051812;3.899431977380539e-05
-0.395;0.7996554059675395;4.094223504504524e-05
-0.3925;0.7996958968337045;4.2987598477381084e-05
-0.39;0.799731629897678;4.5135301014282884e-05
-0.38750000000000007;0.7997631642159546;4.739047856179482e-05
-0.385;0.7997909931541587;4.975852686796515e-05
-0.38250000000000006;0.799815552105926;5.2245113970498477e-05
-0.38;0.7998372253047915;5.485619759525951e-05
